Starbucks,Nearby Cafes
2.130434782608696,14.608695652173912
1.7,6.62
1.5277777777777777,6.777777777777778
2.7570621468926553,7.11864406779661
3.033333333333333,13.250537634408602
2.8128654970760234,8.982456140350877
1.0982142857142858,10.223214285714286
3.7916666666666665,37.541666666666664
1.7857142857142858,8.785714285714286
1.9660056657223797,9.98300283286119
2.1447368421052633,7.717105263157895
2.911764705882353,12.323529411764707
1.8541666666666667,7.083333333333333
1.9142857142857144,10.6
2.4364406779661016,12.559322033898304
1.9557522123893805,5.654867256637168
1.7407407407407407,6.388888888888889
1.8709677419354838,7.080645161290323
1.5555555555555556,11.38888888888889
1.2580645161290323,20.820276497695854
2.2155172413793105,8.474137931034482
1.25,12.458333333333334
1.9383561643835616,7.623287671232877
1.803921568627451,11.588235294117647
1.898989898989899,7.545454545454546
1.28,5.04
2.25,14.4375
2.223684210526316,7.756578947368421
1.625,10.375
1.6111111111111112,9.972222222222221
1.16,8.36
1.2369668246445498,11.04739336492891
2.111111111111111,9.86111111111111
3.2435897435897436,9.076923076923077
2.142857142857143,20.72425249169435
1.9533678756476685,7.580310880829016
1.880952380952381,7.5476190476190474
3.0168067226890756,14.949579831932773
1.7761194029850746,11.64676616915423
1.35,24.3
1.8450704225352113,8.183098591549296
1.6666666666666667,9.8
1.9565217391304348,7.445652173913044
2.336322869955157,8.36322869955157
1.7413793103448276,8.448275862068966
2.526315789473684,9.23391812865497
1.0,17.625
3.3794642857142856,12.03125
1.7261904761904763,8.095238095238095
1.3888888888888888,5.833333333333333
1.5333333333333334,6.0
