State,City,Postcode,Population,Median Age,Household Income,Race White,State Population Rank,Starbucks Count
NY,FLORAL PARK,11001,27551,41.6,99691,19664,4,645
NY,MANLIUS,13104,16000,43.1,99631,13920,4,645
TX,MANVEL,77578,16260,34.5,99581,10122,2,1042
CA,TOPANGA,90290,6478,44.7,99505,5854,1,2821
TX,MELISSA,75454,7109,34.1,99273,5614,2,1042
NY,CLARENCE CENTER,14032,7841,41.9,99194,7508,4,645
CA,SANTA BARBARA,93111,18440,44.3,98807,13994,1,2821
NY,BUCHANAN,10511,2236,44.5,98370,1725,4,645
CA,SAN JOSE,95130,14413,38.2,98304,8225,1,2821
NY,WESTTOWN,10998,2736,40.6,98036,2460,4,645
NY,JOHNSON,10933,809,30.5,97845,751,4,645
NY,CARLE PLACE,11514,4913,42.1,97692,3799,4,645
TX,LOVING,76460,493,42.9,97639,471,2,1042
CA,COOL,95614,4284,44.5,97308,4172,1,2821
NY,BABYLON,11702,13979,43,97294,12526,4,645
FL,FORT LAUDERDALE,33330,13457,43.9,97192,10348,3,694
NY,FORT MONTGOMERY,10922,1347,44,96875,1123,4,645
NY,DELMAR,12054,17318,42.2,96813,15904,4,645
NY,EAST MORICHES,11940,5352,42.2,96607,5163,4,645
TX,KENDALIA,78027,591,44.1,96567,591,2,1042
